AHGP,20100623,35,35,34.66,34.92,34.92,7808
AHII,20100623,2.5,2.51,2.5,2.51,2.51,8457
AHPI,20100623,3.59,3.66,3.59,3.61,3.61,825
AIMC,20100623,14,14,13.65,13.77,13.77,231044
AINV,20100623,10.1,10.25,9.96,10.01,10.01,2045739
AIPC,20100623,52.7,52.73,52.66,52.66,52.66,1826620
AIRM,20100623,31.97,32.15,31.59,31.7,31.7,41915
AIRT,20100623,11.05,11.26,11,11.11,11.11,4436
AIXG,20100623,26.98,27.33,26.41,27.05,27.05,401625
AJZST,20100623,543.9,0,0,0,0,100
AKAM,20100623,44.44,45.55,43.37,45.3,45.3,4739734
AKNS,20100623,0.75,0.75,0.6902,0.7,0.7,210213
AKRX,20100623,3.08,3.15,3.05,3.07,3.07,332478
ALAN,20100623,0.2289,0.2289,0.2107,0.2107,0.2107,106700
ALCO,20100623,23.89,24.9999,23.89,24.05,24.05,8724
ALGN,20100623,14.96,14.96,14.35,14.75,14.75,779308
ALGT,20100623,44.05,44.96,43.71,43.77,43.77,148562
ALIM,20100623,9.75,10.5,9.7,9.7,9.7,61593
ALKS,20100623,12.32,12.53,12.06,12.46,12.46,612903
ALLB,20100623,8.3,8.3,8.3,8.3,8.3,1997
ALLT,20100623,4.89,5.05,4.8,4.85,4.85,30217
ALNC,20100623,27.28,27.97,27.01,27.74,27.74,6922
ALNY,20100623,15.25,15.52,15.17,15.34,15.34,133020
ALOG,20100623,46,46.41,45.71,46.1,46.1,35709
ALOT,20100623,7.33,7.34,7.2,7.25,7.25,5249
ALOY,20100623,8.59,8.7,8.52,8.59,8.59,6600
ALRN,20100623,1.16,1.39,0.83,0.91,0.91,771621
ALSK,20100623,8.995,9.17,8.98,9.13,9.13,402765
ALTE,20100623,19.57,19.81,19.5,19.52,19.52,241523
ALTH,20100623,6.31,6.41,6.28,6.4,6.4,617968
ALTI,20100623,0.43,0.45,0.417,0.44,0.44,271771
ALTR,20100623,25.45,26.23,25.275,25.94,25.94,8427968
ALVR,20100623,2.3,2.3,2.19,2.2,2.2,438145
ALXA,20100623,2.85,2.99,2.82,2.86,2.86,159391
ALXN,20100623,53.56,54.23,53.41,53.89,53.89,312638
AMAC,20100623,5.65,5.7,5.65,5.69,5.69,1194
AMAG,20100623,34.6,35.15,34.28,34.7,34.7,97496
AMAT,20100623,13.13,13.3,12.9,13.12,13.12,17536960
AMCC,20100623,11.32,11.62,11.18,11.34,11.34,1097249
AMCF,20100623,4.63,4.63,4.48,4.48,4.48,20071
AMCN,20100623,3.92,3.92,3.7,3.73,3.73,73627
AMED,20100623,45.41,46.28,44.3,44.43,44.43,250186
AMGN,20100623,55.76,56.64,55.37,56.2,56.2,5859152
AMIC,20100623,5.1,5.15,5.1,5.15,5.15,200
AMIE,20100623,0.49,0.4905,0.48,0.48,0.48,47420
AMIN,20100623,1.08,1.08,1.08,1.08,1.08,978
AMKR,20100623,6.41,6.49,6.25,6.34,6.34,2559023
AMLN,20100623,18.5,19.05,18.2,18.63,18.63,2237078
AMMD,20100623,22.84,22.86,22.2915,22.5,22.5,1114098
AMNB,20100623,20.14,20.9,20.14,20.65,20.65,9868
AMOT,20100623,4.275,4.4,4.25,4.32,4.32,4106
AMOV,20100623,49.8,51.03,49.8,51.03,51.03,2366
AMPH,20100623,24.11,24.11,23.76,23.98,23.98,12619
AMPL,20100623,1.63,1.65,1.57,1.62,1.62,85724
AMRB,20100623,7.6,7.6,7.6,7.6,7.6,100
AMRI,20100623,5.54,5.58,5.36,5.5,5.5,92332
AMRN,20100623,2.53,2.59,2.51,2.58,2.58,47862
AMSC,20100623,30.44,31.1999,29.48,30.3,30.3,510765
AMSF,20100623,18.55,18.87,18.5,18.81,18.81,206881
AMSG,20100623,18.64,18.82,18.4,18.63,18.63,104053
AMSWA,20100623,5.21,5.33,5.13,5.16,5.16,78829
AMTD,20100623,16.61,16.88,16.58,16.72,16.72,4841136
AMWD,20100623,20.42,20.42,19.86,20.14,20.14,18552
AMZN,20100623,122.11,123.22,120.04,121.45,121.45,5455131
ANAD,20100623,4.56,4.71,4.4313,4.57,4.57,307532
ANAT,20100623,90.16,90.94,88.06,89.08,89.08,47236
ANCI,20100623,1.75,1.84,1.73,1.73,1.73,58236
ANCX,20100623,6.07,6.07,5.82,5.97,5.97,8180
ANDE,20100623,34.33,35.23,34.06,35,35,116942
ANDS,20100623,2.35,2.35,2.26,2.26,2.26,97301
ANEN,20100623,14.91,15.24,14.88,15.05,15.05,14525
ANGN,20100623,4.15,4.28,4.01,4.27,4.27,7624
ANGO,20100623,14.64,14.71,14.35,14.57,14.57,74601
ANIK,20100623,5.99,6.1,5.95,6.03,6.03,17324
ANLY,20100623,2.5,2.6615,2.47,2.47,2.47,5572
ANNB,20100623,4.15,4.24,4.15,4.15,4.15,665
ANPI,20100623,0.89,0.89,0.84,0.8499,0.8499,57683
ANSS,20100623,43.49,43.81,42.9,43.16,43.16,439760
ANSW,20100623,7.67,7.76,7.48,7.5299,7.5299,4756
ANTH,20100623,6.05,6.58,5.81,5.98,5.98,43378
ANTP,20100623,3.29,3.29,3.29,3.29,3.29,600
AONE,20100623,8.83,9.46,8.61,9.35,9.35,4340666
AOSL,20100623,14.66,15.04,14.51,14.73,14.73,86083
APAC,20100623,5.93,5.95,5.57,5.68,5.68,272682
APAGF,20100623,22.68,22.79,21.88,22.59,22.59,11622
APCVZ,20100623,0.14,0.1519,0.14,0.14,0.14,2267705
APEI,20100623,46.27,46.455,45.22,45.39,45.39,133792
APFC,20100623,5.39,5.41,5.26,5.41,5.41,4246
APKT,20100623,29.11,29.59,28,29.33,29.33,893561
APOG,20100623,11.83,12.25,11.0801,11.72,11.72,1149691
APOL,20100623,46.6,47.06,46,46.33,46.33,3117302
APPA,20100623,0.74,0.74,0.7,0.71,0.71,46182
APPY,20100623,1.1,1.23,1.1,1.18,1.18,412492
APSG,20100623,18.31,18.36,18.1,18.22,18.22,40552
APWR,20100623,8.17,8.28,7.88,8.11,8.11,736706
ARAY,20100623,7.07,7.14,6.74,6.96,6.96,353236
ARBA,20100623,16.28,16.76,16.08,16.59,16.59,890325
ARBXD,20100623,8.96,8.96,7.67,7.93,7.93,8431
ARCC,20100623,13.36,13.6,13.2,13.43,13.43,1727652
ARCI,20100623,3.16,3.16,3.16,3.16,3.16,0
ARCL,20100623,12.12,12.51,11.86,12.4,12.4,95562
ARCW,20100623,2.76,2.76,2.76,2.76,2.76,0
ARDNA,20100623,89.4,89.4,88.29,89.05,89.05,908
AREX,20100623,7.68,8.08,7.4101,7.91,7.91,77982
ARGN,20100623,7.4,7.47,6.93,6.99,6.99,410543
ARIA,20100623,3.26,3.26,3.14,3.16,3.16,794363
ARII,20100623,13.82,13.91,13.36,13.62,13.62,58569
ARKR,20100623,13.69,13.69,13.45,13.45,13.45,4106
ARLP,20100623,47,47.2,46.217,46.44,46.44,51550
ARMH,20100623,12.8,12.95,12.57,12.83,12.83,1643059
ARNA,20100623,3.05,3.46,3.01,3.23,3.23,11341281
AROW,20100623,24.56,24.81,24.56,24.63,24.63,5400
ARQL,20100623,4.9,5.04,4.76,4.95,4.95,285661
ARRS,20100623,10.71,10.83,10.52,10.72,10.72,1052226
ARRY,20100623,3.31,3.43,3.3,3.39,3.39,158989
ARSD,20100623,2.59,2.59,2.59,2.59,2.59,100
ARST,20100623,23.9,23.99,23.56,23.82,23.82,294527
ARTC,20100623,30.9,31.6,30,31.27,31.27,92819
ARTG,20100623,3.88,3.88,3.745,3.83,3.83,752077
ARTNA,20100623,17.39,17.47,17.19,17.45,17.45,9307
ARTW,20100623,5.415,5.51,5.4,5.5,5.5,794
ARTX,20100623,1.73,1.73,1.7,1.71,1.71,2404
ARUN,20100623,15.1,15.5,14.84,15.21,15.21,1019199
ARWR,20100623,1.27,1.29,1.24,1.25,1.25,515596
ARYX,20100623,0.47,0.5,0.47,0.49,0.49,72466
ASBC,20100623,13.29,13.29,12.85,12.87,12.87,2193773
ASBI,20100623,3.91,4.018,3.91,4.018,4.018,500
ASCA,20100623,16.45,16.81,16.18,16.47,16.47,174814
ASCMA,20100623,25.33,25.61,25.19,25.39,25.39,19779
ASEI,20100623,71.65,72.53,71.56,72.22,72.22,62026
ASFI,20100623,8.81,9.21,8.5,9.15,9.15,104535
ASFN,20100623,1.35,1.464,1.35,1.44,1.44,8248
ASGN,20100623,5.25,5.25,5.06,5.15,5.15,303811
ASGR,20100623,16.16,16.35,15.78,16.26,16.26,16433
ASIA,20100623,23.31,23.43,22.95,23.14,23.14,910239
ASMI,20100623,21.51,21.76,21.22,21.75,21.75,30677
ASML,20100623,30.33,30.571,29.72,30.1,30.1,2854784
ASPS,20100623,26.34,26.51,25.55,25.9,25.9,168548
ASRV,20100623,1.7282,1.7282,1.68,1.68,1.68,4681
ASRVP,20100623,21.41,21.41,21.4,21.4,21.4,500
ASTC,20100623,1.39,1.44,1.38,1.39,1.39,90584
ASTE,20100623,30.34,30.86,29.28,29.88,29.88,121506
ASTI,20100623,3,3,2.81,2.86,2.86,127174
ASTIZ,20100623,0.4,0.4,0.34,0.34,0.34,3200
ASTM,20100623,1.45,1.5,1.43,1.49,1.49,89821
ASUR,20100623,2.26,0,0,0,0,0
ASYS,20100623,8.95,8.95,8.65,8.86,8.86,19828
ATAC,20100623,17.16,17.435,16.56,16.94,16.94,73393
ATAI,20100623,3.16,0,0,0,0,160
ATAX,20100623,5.5,5.532,5.46,5.47,5.47,60041
ATBC,20100623,2.03,2.035,1.96,1.99,1.99,8191
ATEA,20100623,2.55,2.59,2.52,2.59,2.59,3400
ATEC,20100623,5,5.042,4.86,5,5,162444
ATHN,20100623,23.58,23.59,22.98,23.03,23.03,600795
ATHR,20100623,31.1,31.11,30.14,30.8,30.8,1643742
ATHX,20100623,3.1529,3.18,3.14,3.14,3.14,13754
ATLO,20100623,19.51,19.98,19.255,19.98,19.98,7609
ATLS,20100623,30.75,31.18,30.12,30.7,30.7,1103953
ATMI,20100623,15.8,15.86,15.51,15.56,15.56,186160
ATML,20100623,5.07,5.2425,5.01,5.15,5.15,6364323
ATNI,20100623,42.21,42.685,41.92,42.02,42.02,21116
ATPG,20100623,11.56,11.6,10.68,10.79,10.79,3720183
ATRC,20100623,6.08,6.08,6,6.06,6.06,16454
ATRI,20100623,129.765,132.185,129.65,130.162,130.162,2864
ATRM,20100623,2.91,3.09,2.84,3.09,3.09,12431
ATRN,20100623,0.92,0.92,0.91,0.91,0.91,15800
ATRO,20100623,16.78,17.17,16.28,16.96,16.96,11426
ATSG,20100623,5.29,5.29,4.97,5.05,5.05,272414
ATSI,20100623,3.96,3.97,3.96,3.96,3.96,103167
ATVI,20100623,11.17,11.26,11.09,11.21,11.21,11675483
ATX,20100623,4.7,4.77,4.7,4.73,4.73,2632
AUBN,20100623,18.88,19,18.33,19,19,3439
AUDC,20100623,2.7,2.73,2.67,2.72,2.72,70890
AUTC,20100623,28.36,29.8,27.6,29.13,29.13,23188
AUTH,20100623,2.74,2.74,2.65,2.66,2.66,43759
AUXL,20100623,25.37,25.37,24.58,24.6,24.6,1109381
AVAV,20100623,24,24.03,22.77,23.42,23.42,618463
AVCA,20100623,5.25,5.26,5.2,5.25,5.25,12865
AVEO,20100623,6.94,8.25,6.9,7.87,7.87,99716
AVGO,20100623,22.5,22.7,21.51,22.54,22.54,1144085
AVID,20100623,13.07,13.43,12.97,13.19,13.19,76027
AVII,20100623,1.67,1.72,1.66,1.66,1.66,661126
AVNR,20100623,2.67,2.73,2.6,2.69,2.69,1946741
AVNW,20100623,3.74,3.82,3.7,3.8,3.8,975114
AVTR,20100623,20.09,20.72,19.78,20.4,20.4,32883
AWRE,20100623,2.4,2.45,2.35,2.45,2.45,11991
AXAS,20100623,2.73,2.82,2.65,2.77,2.77,483844
AXFN,20100623,21.61,21.61,21.61,21.61,21.61,100
AXTI,20100623,4.77,4.77,4.41,4.61,4.61,316228
AZPN,20100623,11.52,11.7,11.31,11.62,11.62,158133
BABY,20100623,16.94,16.98,16.58,16.61,16.61,67669
BAGL,20100623,11.19,11.39,11.18,11.34,11.34,18531
BAMM,20100623,6.51,6.53,6.26,6.35,6.35,74543
BANF,20100623,37.14,37.61,37.07,37.22,37.22,20701
BANFP,20100623,26,26,26,26,26,1000
BANR,20100623,2.41,2.5,2.25,2.26,2.26,1101613
BARI,20100623,26.52,27,26.23,26.69,26.69,13502
BASI,20100623,0.96,0.96,0.93,0.95,0.95,5300
BBBB,20100623,40.8,41.19,40.24,40.65,40.65,282263
BBBY,20100623,40.31,41.9,40.31,41.46,41.46,5723410
BBEP,20100623,15.05,15.05,14.76,14.9,14.9,103352
BBGI,20100623,6.51,6.69,6.33,6.35,6.35,57368
BBND,20100623,2.89,3.02,2.89,2.9,2.9,236003
BBNK,20100623,9.52,9.56,9.1,9.38,9.38,14167
BBOX,20100623,28.78,29.03,28.15,28.52,28.52,56859
BBSI,20100623,12.96,13.13,12.86,12.95,12.95,20983
BBXT,20100623,10.4,10.88,10.37,10.4,10.4,1471
BCAR,20100623,3.48,3.49,3.37,3.37,3.37,1102
BCBP,20100623,7.98,8.04,7.97,7.97,7.97,700
BCOM,20100623,27.35,0,0,0,0,0
BCON,20100623,0.311,0.32,0.311,0.3187,0.3187,400562
BCPC,20100623,24.89,25.07,24.71,24.79,24.79,61883
BCRX,20100623,5.99,6.1,5.79,5.96,5.96,657471
BCSB,20100623,10.25,10.27,9.5,9.61,9.61,1610
BCSI,20100623,22.12,22.47,21.77,22,22,428380
BDCO,20100623,0.65,0.65,0.49,0.49,0.49,979817
BDE,20100623,6.53,6.57,6.31,6.5,6.5,51675
BDGE,20100623,22.195,22.21,21.85,21.95,21.95,12233
BDMS,20100623,16.73,0,0,0,0,0
BDSI,20100623,2.75,2.75,2.7,2.71,2.71,53747
BEAT,20100623,7.02,7.15,6.9,6.94,6.94,257979
BEAV,20100623,26.89,27.58,26.24,27.08,27.08,763806
