ALTI,20110623,37200000,20110623,37500000,0.902,1,0.902,100
ALTR,20110623,37200000,20110623,37500000,43.268425,800,43.2684917193313,89244
ALXA,20110623,37200000,20110623,37500000,1.60030303030303,33,1.60020833333333,4800
ALXN,20110623,37200000,20110623,37500000,44.6266176470589,102,44.6292026891915,11602
AMAC,20110623,37200000,20110623,37500000,5.55,1,5.55,200
AMAG,20110623,37200000,20110623,37500000,16.7525,22,16.7520252988602,3597
AMAP,20110623,37200000,20110623,37500000,14.61,1,14.61,100
AMAT,20110623,37200000,20110623,37500000,12.3774659793812,1067,12.37643914592,369216
AMCC,20110623,37200000,20110623,37500000,8.22560975609757,41,8.22577222449816,4882
AMCF,20110623,37200000,20110623,37500000,2.2499,1,2.2499,400
AMCN,20110623,37200000,20110623,37500000,3.42065789473684,38,3.42107142857143,7000
AMCXV,20110623,37200000,20110623,37500000,35.43,1,35.43,100
AMED,20110623,37200000,20110623,37500000,25.3603571428571,14,25.3615625,1600
AMGN,20110623,37200000,20110623,37500000,57.1471925986845,608,57.1477154565552,98159
AMKR,20110623,37200000,20110623,37500000,5.75037407407407,27,5.74615740740741,5400
AMLN,20110623,37200000,20110623,37500000,12.0837835051546,97,12.0795416666667,14400
AMNB,20110623,37200000,20110623,37500000,17.43,1,17.43,100
AMPE,20110623,37200000,20110623,37500000,7.8,3,7.8,400
AMRI,20110623,37200000,20110623,37500000,4.725,2,4.725,200
AMRN,20110623,37200000,20110623,37500000,14.0208807881774,203,14.0213075098814,25300
AMRS,20110623,37200000,20110623,37500000,28.8639583333333,12,28.8639583333333,1200
AMSC,20110623,37200000,20110623,37500000,7.95498188405799,138,7.95496504248682,18594
AMSF,20110623,37200000,20110623,37500000,21.9644444444444,9,21.9652107279694,1044
AMSG,20110623,37200000,20110623,37500000,25.65225,8,25.65225,800
AMSWA,20110623,37200000,20110623,37500000,7.69,2,7.69,200
AMTD,20110623,37200000,20110623,37500000,18.57872203125,640,18.5803335389632,90778
AMWD,20110623,37200000,20110623,37500000,17.39,1,17.39,100
AMZN,20110623,37200000,20110623,37500000,189.373298185484,496,189.376802192241,75083
ANAC,20110623,37200000,20110623,37500000,6.21805882352941,17,6.21888372093023,4300
ANAD,20110623,37200000,20110623,37500000,2.9219,21,2.92512699905927,6378
ANAT,20110623,37200000,20110623,37500000,74.7,1,74.7,100
ANDE,20110623,37200000,20110623,37500000,39.5607,9,39.556953199618,1047
